GfKMapping,Start.Date,PERIOD,YEAR,MONTH,WEEK,QUARTER
,18/12/2011,24/12/2011,2011,DEC,51,Q4
12-Jan,1/1/2012,7/1/2012,2012,JAN,1,Q1
(5 weeks),8/1/2012,14/01/2012,2012,JAN,2,Q1
,15/01/2012,21/01/2012,2012,JAN,3,Q1
,22/01/2012,28/01/2012,2012,JAN,4,Q1
,29/01/2012,4/2/2012,2012,JAN,5,Q1
12-Feb,5/2/2012,11/2/2012,2012,FEB,6,Q1
(4 weeks),12/2/2012,18/02/2012,2012,FEB,7,Q1
,19/02/2012,25/02/2012,2012,FEB,8,Q1
,26/02/2012,3/3/2012,2012,FEB,9,Q1
12-Mar,4/3/2012,10/3/2012,2012,MAR,10,Q1
(4 weeks),11/3/2012,17/03/2012,2012,MAR,11,Q1
,18/03/2012,24/03/2012,2012,MAR,12,Q1
,25/03/2012,31/03/2012,2012,MAR,13,Q1
12-Apr,1/4/2012,7/4/2012,2012,APR,14,Q2
(4 weeks),8/4/2012,14/04/2012,2012,APR,15,Q2
,15/04/2012,21/04/2012,2012,APR,16,Q2
,22/04/2012,28/04/2012,2012,APR,17,Q2
12-May,29/04/2012,5/5/2012,2012,MAY,18,Q2
(5 weeks),6/5/2012,12/5/2012,2012,MAY,19,Q2
,13/05/2012,19/05/2012,2012,MAY,20,Q2
,20/05/2012,26/05/2012,2012,MAY,21,Q2
,27/05/2012,2/6/2012,2012,MAY,22,Q2
12-Jun,3/6/2012,9/6/2012,2012,JUN,23,Q2
(4 weeks),10/6/2012,16/06/2012,2012,JUN,24,Q2
,17/06/2012,23/06/2012,2012,JUN,25,Q2
,24/06/2012,30/06/2012,2012,JUN,26,Q2
12-Jul,1/7/2012,7/7/2012,2012,JUL,27,Q3
(5 weeks),8/7/2012,14/07/2012,2012,JUL,28,Q3
,15/07/2012,21/07/2012,2012,JUL,29,Q3
,22/07/2012,28/07/2012,2012,JUL,30,Q3
,29/07/2012,4/8/2012,2012,JUL,31,Q3
12-Aug,5/8/2012,11/8/2012,2012,AUG,32,Q3
(4 weeks),12/8/2012,18/08/2012,2012,AUG,33,Q3
,19/08/2012,25/08/2012,2012,AUG,34,Q3
,26/08/2012,1/9/2012,2012,AUG,35,Q3
12-Sep,2/9/2012,8/9/2012,2012,SEP,36,Q3
(4 weeks),9/9/2012,15/09/2012,2012,SEP,37,Q3
,16/09/2012,22/09/2012,2012,SEP,38,Q3
,23/09/2012,29/09/2012,2012,SEP,39,Q3
12-Oct,30/09/2012,6/10/2012,2012,OCT,40,Q4
(5 weeks),7/10/2012,13/10/2012,2012,OCT,41,Q4
,14/10/2012,20/10/2012,2012,OCT,42,Q4
,21/10/2012,27/10/2012,2012,OCT,43,Q4
,28/10/2012,3/11/2012,2012,OCT,44,Q4
12-Nov,4/11/2012,10/11/2012,2012,NOV,45,Q4
(4 weeks),11/11/2012,17/11/2012,2012,NOV,46,Q4
,18/11/2012,24/11/2012,2012,NOV,47,Q4
,25/11/2012,1/12/2012,2012,NOV,48,Q4
12-Dec,2/12/2012,8/12/2012,2012,DEC,49,Q4
(4 weeks),9/12/2012,15/12/2012,2012,DEC,50,Q4
,16/12/2012,22/12/2012,2012,DEC,51,Q4
,23/12/2012,29/12/2012,2012,DEC,52,Q4
13-Jan,30/12/2012,5/1/2013,2013,JAN,1,Q1
(5 weeks),6/1/2013,12/1/2013,2013,JAN,2,Q1
,13/01/2013,19/01/2013,2013,JAN,3,Q1
,20/01/2013,26/01/2013,2013,JAN,4,Q1
,27/01/2013,2/2/2013,2013,JAN,5,Q1
13-Feb,3/2/2013,9/2/2013,2013,FEB,6,Q1
(4 weeks),10/2/2013,16/02/2013,2013,FEB,7,Q1
,17/02/2013,23/02/2013,2013,FEB,8,Q1
,24/02/2013,2/3/2013,2013,FEB,9,Q1
13-Mar,3/3/2013,9/3/2013,2013,MAR,10,Q1
(4 weeks),10/3/2013,16/03/2013,2013,MAR,11,Q1
,17/03/2013,23/03/2013,2013,MAR,12,Q1
,24/03/2013,30/03/2013,2013,MAR,13,Q1
13-Apr,31/03/2013,6/4/2013,2013,APR,14,Q2
(4 weeks),7/4/2013,13/04/2013,2013,APR,15,Q2
,14/04/2013,20/04/2013,2013,APR,16,Q2
,21/04/2013,27/04/2013,2013,APR,17,Q2
13-May,28/04/2013,4/5/2013,2013,MAY,18,Q2
(5 weeks),5/5/2013,11/5/2013,2013,MAY,19,Q2
,12/5/2013,18/05/2013,2013,MAY,20,Q2
,19/05/2013,25/05/2013,2013,MAY,21,Q2
,26/05/2013,1/6/2013,2013,MAY,22,Q2
13-Jun,2/6/2013,8/6/2013,2013,JUN,23,Q2
(4 weeks),9/6/2013,15/06/2013,2013,JUN,24,Q2
,16/06/2013,22/06/2013,2013,JUN,25,Q2
,23/06/2013,29/06/2013,2013,JUN,26,Q2
13-Jul,30/06/2013,6/7/2013,2013,JUL,27,Q3
(5 weeks),7/7/2013,13/07/2013,2013,JUL,28,Q3
,14/07/2013,20/07/2013,2013,JUL,29,Q3
,21/07/2013,27/07/2013,2013,JUL,30,Q3
,28/07/2013,3/8/2013,2013,JUL,31,Q3
